file,instance,opt_value,gap_genetic,gap_greedy,gap_surrogate,gap_rech_local_greedy,gap_rech_local_surrogate
mknapcb2,27,149772.0,0.02964506049194776,0.013573965761290495,0.016177923777475095,0.013573965761290495,0.0028042624789680315
mknapcb2,28,155075.0,0.016443656295340964,0.009614702563275835,0.014657423827180396,0.009614702563275835,0.00682250523940029
mknapcb2,29,154662.0,0.015789269503821236,0.002819050574801826,0.006944175039764131,0.002819050574801826,0.001209088205247572
mknapcb3,0,120130.0,0.0544909681178723,0.005585615583118288,0.016681927911429285,0.005585615583118288,0.004977940564388579
mknapcb3,1,117837.0,0.05449901134618159,0.03475988017345995,0.049924896254996305,0.03475988017345995,0.009054880894795354
mknapcb3,2,121109.0,0.06268733124705843,0.02398665664814341,0.0597726015407608,0.02398665664814341,0.013780974163769827
mknapcb3,3,120798.0,0.06342820245368301,0.024545108362721238,0.03671418400966903,0.024545108362721238,0.00540571863772579
mknapcb3,4,122319.0,0.05958191286717517,0.03613502399463697,0.045659300681006224,0.03613502399463697,0.010178304269982586
mknapcb3,5,122007.0,0.04627603334234921,0.021900382764923326,0.031194931438360093,0.021900382764923326,0.006720925848516889
mknapcb3,6,119113.0,0.05061580180165053,0.022482852417452334,0.04631736250451252,0.022482852417452334,0.007413128709712626
mknapcb3,7,120568.0,0.05960951496251078,0.027760268064494727,0.04575841019175901,0.027760268064494727,0.007423196868157388
mknapcb3,8,121575.0,0.06629652477894304,0.055743368291178284,0.10161628624305984,0.055743368291178284,0.016006580300226197
mknapcb3,9,120699.0,0.047556317782251716,0.029594279985749674,0.056421345661521634,0.029594279985749674,0.010422621562730428
mknapcb3,10,218422.0,0.08809094322000531,0.02952541410663761,0.0430771625568853,0.02952541410663761,0.004161668696376739
mknapcb3,11,221191.0,0.08882368631635103,0.04625414234756387,0.06300889276688473,0.04625414234756387,0.009494057172308095
mknapcb3,12,217534.0,0.0938290106374176,0.0160066932065792,0.01953717579780632,0.0160066932065792,0.004210836007244844
mknapcb3,13,223558.0,0.11450272412528292,0.004236037180507967,0.013101745408350405,0.004236037180507967,0.00255414702224926
mknapcb3,14,218962.0,0.09993514856459111,0.018199504936929695,0.023725577954165564,0.018199504936929695,0.004379755391346444
mknapcb3,15,220514.0,0.11699937418939386,0.01657944620296217,0.02607997678151954,0.01657944620296217,0.0023898709378996344
mknapcb3,16,219987.0,0.10522439962361413,0.019323869137721775,0.021387627450712998,0.019323869137721775,0.0045229945405864894
mknapcb3,17,218194.0,0.09266982593471865,0.02917587101386839,0.04101396005389699,0.02917587101386839,0.005137629815668625
mknapcb3,18,216976.0,0.11759825971536023,0.005171078828994912,0.013771108325344738,0.005171078828994912,0.0034427770813361845
mknapcb3,19,219693.0,0.0930252670772396,0.016727888462536356,0.0222173669620789,0.016727888462536356,0.005880933848597816
mknapcb3,20,295828.0,0.017882012520789105,0.00887339940776397,0.016769879795016023,0.00887339940776397,0.0023628594994388632
mknapcb3,21,308077.0,0.029800991310613905,0.011769784826520642,0.022150306579199357,0.011769784826520642,0.0036094872385799654
mknapcb3,22,299796.0,0.020513949485650242,0.004656499753165486,0.011691283406049448,0.004656499753165486,0.0022148394241417496
mknapcb3,23,306476.0,0.031940510839347944,0.004049256711781673,0.0074491966744541175,0.004049256711781673,0.0023688641198658295
mknapcb3,24,300342.0,0.02326347963321813,0.010860951848226356,0.014050648926890012,0.010860951848226356,0.002297380985676329
mknapcb3,25,302560.0,0.023129296668429403,0.00699034902168165,0.012318217874140665,0.00699034902168165,0.0011931517715494447
mknapcb3,26,301322.0,0.025922435135834754,0.006693835830108654,0.014678649418230333,0.006693835830108654,0.0024956690848992108
mknapcb3,27,306430.0,0.019586855072936723,0.012048428678654178,0.016019971934862775,0.012048428678654178,0.002884835035734099
mknapcb3,28,302814.0,0.02036233463446208,0.003787803734305547,0.007324628319694598,0.003787803734305547,0.0017238304701896214
mknapcb3,29,299904.0,0.02176696542893726,0.008469376867264192,0.014547988689714042,0.008469376867264192,0.001983968203158344
mknapcb4,0,23064.0,0.041103017689906346,0.06568678459937564,0.11906000693721817,0.06568678459937564,0.03043704474505723
mknapcb4,1,22801.0,0.03451602999868427,0.06118152712600325,0.10442524450681988,0.06118152712600325,0.027367220735932635
